listing_id,title,price_chf,source_status,ad_text,location,profile_creation_year,profile_creation_missing,content_score,price_score,profile_score,fraud_index,manual_state_code,risk_target,content_band,price_band,profile_band,risk_band,risk_target_label,dataset,market_price_chf,price_ratio,confirmed_extreme,confirmed_positive,confirmed_negative
2,iPhone 14 pro max 256gb,200,POSITIVE,"Disponible l'iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture tout d'origine ni souci","Grenoble, ARA",,1,1,3,2,10,3,1,unique,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
3,iPhone 14 pro max 256gb,200,POSITIVE,"Disponible l'iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture tout d'origine ni souci","Annecy, ARA",,1,3,3,2,10,3,1,duplicated,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
4,iPhone 14 pro max 256gb,200,POSITIVE,"Disponible l'iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture tout d'origine ni souci","Dijon, BFC",,1,3,3,2,10,3,1,duplicated,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
5,iPhone 14 pro max 256gb,200,POSITIVE,"Vente de iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture","Besançon, BFC",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
6,iPhone 14 pro max 256 GB,200,IDENTIFIED,"Vente de iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture Raison de vente : besoin d'argent pour régler une problème personnel","Thonon-les-Bains, ARA",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.23529411764705882,0,0,0
7,iPhone 14 pro max 256 GB,200,POSITIVE,"Vente de iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture Raison de vente : besoin d'argent pour régler une problème personnel",-,,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
8,iPhone 14 pro max 256gb,200,POSITIVE,"Vente de iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture","Annecy, ARA",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
9,iPhone 14 pro max 256 GB,208,POSITIVE,iPhone 14 pro max 256 GB A vendre avec tout les accessoires le chargeur l'écouteur facture et le carton,"Besançon, BFC",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.2447058823529412,1,1,0
10,iPhone 14 pro max 256 GB,200,POSITIVE,"Vente de iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture Raison de vente : besoin d'argent pour régler une problème personnel","Aix-les-Bains, ARA",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
11,Iphone 14pro max 256gb,200,POSITIVE,"Disponible l'iPhone 14 pro max à 200 l'iPhone 14 Pro Max 256GB original , Batterie  100% avec ça facture tout d'origine ni souci","Annemasse, ARA",,1,3,3,2,10,3,1,duplicated,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
12,Iphone 14pro max 256gb,200,POSITIVE,"iPhone 14 Pro max 256GB originale est à 200  prix fermé c’est juste pour la vente au plus vite que j’ai mise ça à 200  car j’ai eu des problème personnel a régler urgent tout les papiers et les  accessoires , le chargeur , l'écouteur , protège et  d'achat  de l'entretien  batterie 100% est OK aucun frais à prévoir ","Blois-sur-Seille, BFC",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.23529411764705882,1,1,0
