dataset,subset,indicator,code,label,count,share
case_study_sample,All listings,Content similarity,1,unique,171,0.07894736842105263
case_study_sample,All listings,Content similarity,2,similar,1831,0.84533702677747
case_study_sample,All listings,Content similarity,3,duplicated,164,0.07571560480147738
case_study_sample,All listings,Price anomaly,1,market-consistent,159,0.07340720221606649
case_study_sample,All listings,Price anomaly,2,underpriced,1527,0.7049861495844876
case_study_sample,All listings,Price anomaly,3,suspiciously-low,480,0.22160664819944598
case_study_sample,All listings,Profile recency,1,older-profile,727,0.33564173591874424
case_study_sample,All listings,Profile recency,2,intermediate-or-missing,770,0.3554939981532779
case_study_sample,All listings,Profile recency,3,new-profile,669,0.30886426592797783
case_study_sample,Acceptable risk,Content similarity,1,unique,114,0.1123152709359606
case_study_sample,Acceptable risk,Content similarity,2,similar,877,0.864039408866995
case_study_sample,Acceptable risk,Content similarity,3,duplicated,24,0.023645320197044337
case_study_sample,Acceptable risk,Price anomaly,1,market-consistent,133,0.1310344827586207
case_study_sample,Acceptable risk,Price anomaly,2,underpriced,866,0.8532019704433498
case_study_sample,Acceptable risk,Price anomaly,3,suspiciously-low,16,0.015763546798029555
case_study_sample,Acceptable risk,Profile recency,1,older-profile,677,0.6669950738916256
case_study_sample,Acceptable risk,Profile recency,2,intermediate-or-missing,188,0.1852216748768473
case_study_sample,Acceptable risk,Profile recency,3,new-profile,150,0.1477832512315271
case_study_sample,Unfavorable risk,Content similarity,1,unique,57,0.04952215464813206
case_study_sample,Unfavorable risk,Content similarity,2,similar,954,0.8288444830582102
case_study_sample,Unfavorable risk,Content similarity,3,duplicated,140,0.12163336229365769
case_study_sample,Unfavorable risk,Price anomaly,1,market-consistent,26,0.022589052997393572
case_study_sample,Unfavorable risk,Price anomaly,2,underpriced,661,0.5742832319721981
case_study_sample,Unfavorable risk,Price anomaly,3,suspiciously-low,464,0.40312771503040834
case_study_sample,Unfavorable risk,Profile recency,1,older-profile,50,0.043440486533449174
case_study_sample,Unfavorable risk,Profile recency,2,intermediate-or-missing,582,0.5056472632493484
case_study_sample,Unfavorable risk,Profile recency,3,new-profile,519,0.45091225021720244
case_study_sample,Confirmed legitimate,Content similarity,1,unique,3,0.008746355685131196
case_study_sample,Confirmed legitimate,Content similarity,2,similar,316,0.9212827988338192
case_study_sample,Confirmed legitimate,Content similarity,3,duplicated,24,0.06997084548104957
case_study_sample,Confirmed legitimate,Price anomaly,1,market-consistent,2,0.0058309037900874635
case_study_sample,Confirmed legitimate,Price anomaly,2,underpriced,338,0.9854227405247813
case_study_sample,Confirmed legitimate,Price anomaly,3,suspiciously-low,3,0.008746355685131196
case_study_sample,Confirmed legitimate,Profile recency,1,older-profile,71,0.20699708454810495
case_study_sample,Confirmed legitimate,Profile recency,2,intermediate-or-missing,126,0.3673469387755102
case_study_sample,Confirmed legitimate,Profile recency,3,new-profile,146,0.42565597667638483
case_study_sample,Confirmed positive,Content similarity,1,unique,2,0.1111111111111111
case_study_sample,Confirmed positive,Content similarity,2,similar,2,0.1111111111111111
case_study_sample,Confirmed positive,Content similarity,3,duplicated,14,0.7777777777777778
case_study_sample,Confirmed positive,Price anomaly,1,market-consistent,2,0.1111111111111111
case_study_sample,Confirmed positive,Price anomaly,2,underpriced,0,0.0
case_study_sample,Confirmed positive,Price anomaly,3,suspiciously-low,16,0.8888888888888888
case_study_sample,Confirmed positive,Profile recency,1,older-profile,0,0.0
case_study_sample,Confirmed positive,Profile recency,2,intermediate-or-missing,12,0.6666666666666666
case_study_sample,Confirmed positive,Profile recency,3,new-profile,6,0.3333333333333333
