dataset,subset,indicator,code,label,count,share
exploratory_sample,All listings,Content similarity,1,unique,51,0.1619047619047619
exploratory_sample,All listings,Content similarity,2,similar,232,0.7365079365079366
exploratory_sample,All listings,Content similarity,3,duplicated,32,0.10158730158730159
exploratory_sample,All listings,Price anomaly,1,market-consistent,8,0.025396825396825397
exploratory_sample,All listings,Price anomaly,2,underpriced,58,0.18412698412698414
exploratory_sample,All listings,Price anomaly,3,suspiciously-low,249,0.7904761904761904
exploratory_sample,All listings,Profile recency,1,older-profile,7,0.022222222222222223
exploratory_sample,All listings,Profile recency,2,intermediate-or-missing,277,0.8793650793650793
exploratory_sample,All listings,Profile recency,3,new-profile,31,0.09841269841269841
exploratory_sample,Acceptable risk,Content similarity,1,unique,22,0.6470588235294118
exploratory_sample,Acceptable risk,Content similarity,2,similar,9,0.2647058823529412
exploratory_sample,Acceptable risk,Content similarity,3,duplicated,3,0.08823529411764706
exploratory_sample,Acceptable risk,Price anomaly,1,market-consistent,8,0.23529411764705882
exploratory_sample,Acceptable risk,Price anomaly,2,underpriced,19,0.5588235294117647
exploratory_sample,Acceptable risk,Price anomaly,3,suspiciously-low,7,0.20588235294117646
exploratory_sample,Acceptable risk,Profile recency,1,older-profile,7,0.20588235294117646
exploratory_sample,Acceptable risk,Profile recency,2,intermediate-or-missing,24,0.7058823529411765
exploratory_sample,Acceptable risk,Profile recency,3,new-profile,3,0.08823529411764706
exploratory_sample,Unfavorable risk,Content similarity,1,unique,29,0.10320284697508897
exploratory_sample,Unfavorable risk,Content similarity,2,similar,223,0.7935943060498221
exploratory_sample,Unfavorable risk,Content similarity,3,duplicated,29,0.10320284697508897
exploratory_sample,Unfavorable risk,Price anomaly,1,market-consistent,0,0.0
exploratory_sample,Unfavorable risk,Price anomaly,2,underpriced,39,0.1387900355871886
exploratory_sample,Unfavorable risk,Price anomaly,3,suspiciously-low,242,0.8612099644128114
exploratory_sample,Unfavorable risk,Profile recency,1,older-profile,0,0.0
exploratory_sample,Unfavorable risk,Profile recency,2,intermediate-or-missing,253,0.900355871886121
exploratory_sample,Unfavorable risk,Profile recency,3,new-profile,28,0.099644128113879
exploratory_sample,Confirmed legitimate,Content similarity,1,unique,1,0.14285714285714285
exploratory_sample,Confirmed legitimate,Content similarity,2,similar,3,0.42857142857142855
exploratory_sample,Confirmed legitimate,Content similarity,3,duplicated,3,0.42857142857142855
exploratory_sample,Confirmed legitimate,Price anomaly,1,market-consistent,1,0.14285714285714285
exploratory_sample,Confirmed legitimate,Price anomaly,2,underpriced,0,0.0
exploratory_sample,Confirmed legitimate,Price anomaly,3,suspiciously-low,6,0.8571428571428571
exploratory_sample,Confirmed legitimate,Profile recency,1,older-profile,2,0.2857142857142857
exploratory_sample,Confirmed legitimate,Profile recency,2,intermediate-or-missing,3,0.42857142857142855
exploratory_sample,Confirmed legitimate,Profile recency,3,new-profile,2,0.2857142857142857
exploratory_sample,Confirmed positive,Content similarity,1,unique,8,0.07017543859649122
exploratory_sample,Confirmed positive,Content similarity,2,similar,88,0.7719298245614035
exploratory_sample,Confirmed positive,Content similarity,3,duplicated,18,0.15789473684210525
exploratory_sample,Confirmed positive,Price anomaly,1,market-consistent,0,0.0
exploratory_sample,Confirmed positive,Price anomaly,2,underpriced,4,0.03508771929824561
exploratory_sample,Confirmed positive,Price anomaly,3,suspiciously-low,110,0.9649122807017544
exploratory_sample,Confirmed positive,Profile recency,1,older-profile,0,0.0
exploratory_sample,Confirmed positive,Profile recency,2,intermediate-or-missing,105,0.9210526315789473
exploratory_sample,Confirmed positive,Profile recency,3,new-profile,9,0.07894736842105263
